time,F: theta1,F: theta1dot,F: theta2,F: theta2dot,F: s,F: E,F: MotorEnable,T: y,T: dy,T: d2y,T: d3y,T: d4y
5.76,0.0,0.0,-0.17357299411083713,-1.5840673650725605,0.0,3.421823235980307e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.78,0.0,0.0,-0.20106192982974805,-1.3870377944289087,0.0,4.591482721344885e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,0.0,-0.22383847656827424,-1.1600321855361473,0.0,5.690661377582374e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.82,0.0,0.0,-0.24268803248981316,-0.9545660391316567,0.0,6.689443385570241e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.84,0.0,0.0,-0.2552544031041724,-0.6634022221039746,0.0,7.400136756012784e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.86,0.0,0.0,-0.26310838473814696,-0.3968480516114842,0.0,7.862535833784945e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.88,0.0,0.0,-0.2654645792283393,-0.11824278099600155,0.0,8.003987915303428e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,-0.26310838473814696,0.11923168135020284,0.0,7.862535833784945e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.92,0.0,0.0,-0.2536836067773775,0.4236982778376766,0.0,7.309338391650251e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.94,0.0,0.0,-0.2395464398362233,0.6939768937596693,0.0,6.517374880265932e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.96,0.0,0.0,-0.2206968839146844,0.9367481459611922,0.0,5.5320444818132556e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.98,0.0,0.0,-0.19713493901276075,1.1555756554834788,0.0,4.4138794392005766e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,-0.16964600329384982,1.3662607424801028,0.0,3.268741117051189e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.02,0.0,0.0,-0.13823007675795163,1.52914734636558,0.0,2.1701930050106636e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.04,0.0,0.0,-0.10367255756846382,1.688797138281562,0.0,1.2207335653185003e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.06,0.0,0.0,-0.06754424205218117,1.797911795422845,0.0,5.181672089701378e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.08,0.0,0.0,-0.03063052837250111,1.8510266005201998,0.0,1.0656196928658702e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.007853981633973849,1.8853041746348898,0.0,7.006046632910285e-08,0.0,0.0,0.0,0.0,0.0,0.0
6.12,0.0,0.0,0.04555309347705135,1.8815035773542876,0.0,2.356834087311334e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.14,0.0,0.0,0.08246680715673144,1.8407861213082868,0.0,7.724166412784719e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.16,0.0,0.0,0.11702432634621918,1.7257933419306122,0.0,1.5554124129726474e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.18,0.0,0.0,0.1500110492089122,1.629475295366948,0.0,2.5558758721523998e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.17907078125461803,1.4602143169920276,0.0,3.6420232816526644e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.22,0.0,0.0,0.2042035224833366,1.268294938792571,0.0,4.73608752384812e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.24,0.0,0.0,0.22540927289506787,1.0637293144908218,0.0,5.770810551062816e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.26,0.0,0.0,0.24190263432641443,0.8399484028738281,0.0,6.646216077845106e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.28,0.0,0.0,0.25289820861397877,0.5741787969906036,0.0,7.264149390867898e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.25839599575776095,0.30753636779937144,0.0,7.583414935929675e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.32,0.0,0.0,0.2591813939211584,0.06303426371370713,0.0,7.629584783240561e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.34,0.0,0.0,0.2536836067773762,-0.24052631948136977,0.0,7.309338391650177e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.36,0.0,0.0,0.24268803248981186,-0.5218210957914394,0.0,6.689443385570169e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.38,0.0,0.0,0.22698006922186276,-0.7752151570784432,0.0,5.851520208273955e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.20655971697352893,-1.0031306273176124,0.0,4.846012395518499e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.42,0.0,0.0,0.18221237390820783,-1.2139493535242887,0.0,3.770934539698233e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.44,0.0,0.0,0.153152641862502,-1.416165374105924,0.0,2.6640492321645517e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.46,0.0,0.0,0.12173671532660386,-1.5542417952473364,0.0,1.6832027035569507e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.48,0.0,0.0,0.08717919613711612,-1.7047209130534904,0.0,8.632150056410031e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.051050880620833496,-1.7891044834173493,0.0,2.960054702404999e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.52,0.0,0.0,0.01413716694115344,-1.8477362477756663,0.0,2.269959109063097e-07,0.0,0.0,0.0,0.0,0.0,0.0
6.54,0.0,0.0,-0.02356194490192407,-1.868638755252414,0.0,6.305441969620608e-07,0.0,0.0,0.0,0.0,0.0,0.0
6.56,0.0,0.0,-0.05969026041820668,-1.8234089854211295,0.0,4.046692535169718e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.58,0.0,0.0,-0.09581857593448932,-1.7772021304258874,0.0,1.042779980842549e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,-0.1288052987971822,-1.6609718035413452,0.0,1.8843463023878742e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.62,0.0,0.0,-0.15943582716968294,-1.533260300371788,0.0,2.8871217569564997e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.64,0.0,0.0,-0.18692476288859386,-1.365069312890415,0.0,3.968505054746393e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.66,0.0,0.0,-0.2104867077905175,-1.1748769121051987,0.0,5.0320229336223615e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.68,0.0,0.0,-0.22933626371205643,-0.9720890770758099,0.0,5.97363560108567e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,-0.24347343065321062,-0.7259797956958476,0.0,6.732810814227963e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.72,0.0,0.0,-0.2521128104505826,-0.4575685949071394,0.0,7.21910051101835e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.74,0.0,0.0,-0.2552544031041724,-0.18244085331153848,0.0,7.400136756012784e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.76,0.0,0.0,-0.2536836067773775,0.05564289280060586,0.0,7.309338391650251e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.78,0.0,0.0,-0.2466150233068004,0.33971099721709364,0.0,6.907681738185433e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,-0.23404865269244113,0.611537437865673,0.0,6.221649651890737e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.82,0.0,0.0,-0.21676989309769712,0.8370623954297406,0.0,5.33692608308667e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.84,0.0,0.0,-0.19556414268596584,1.0572057664619132,0.0,4.343818972871461e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.86,0.0,0.0,-0.16964600329384982,1.2646311258787193,0.0,3.268741117051189e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.88,0.0,0.0,-0.140586271248144,1.4281822733096077,0.0,2.244807401651171e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,-0.10838494654884849,1.5763994272371233,0.0,1.3342315207716657e-05,0.0,0.0,0.0,0.0,0.0,0.0
6.92,0.0,0.0,-0.07382742735936075,1.7004369454474109,0.0,6.19054280484063e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.94,0.0,0.0,-0.03769911184307813,1.778868119267061,0.0,1.6141931442228428e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.96,0.0,0.0,-0.0015707963267955173,1.8095187975546863,0.0,2.802418653166781e-09,0.0,0.0,0.0,0.0,0.0,0.0
6.98,0.0,0.0,0.03534291735288454,1.8196563498778868,0.0,1.4187244431645115e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.07068583470576971,1.7784312855414068,0.0,5.674897772658145e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.02,0.0,0.0,0.10445795573186,1.6793504976090161,0.0,1.2392995888956856e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.04,0.0,0.0,0.13665928043115547,1.5933966130925876,0.0,2.1211506785802438e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.06,0.0,0.0,0.1657190124768613,1.4570909288456126,0.0,3.1191620214384814e-05,0.0,0.0,0.0,0.0,0.0,0.0
