,time,F: theta1,F: theta1dot,F: theta2,F: theta2dot
86,0.08600000000000001,0.0001534064357537001,0.0037355312334635916,-3.52038141071287e-05,-0.0005112321404883442
87,0.08700000000000001,0.00015716527126999,0.0037842200056747133,-3.571435147713955e-05,-0.0005123178461564186
88,0.088,0.00016097521179078881,0.003832213519352465,-3.622880169664004e-05,-0.0005123631570258955
89,0.089,0.00016483401112292773,0.003880551776502421,-3.674424863309072e-05,-0.0005126254041995422
90,0.09,0.00016874065701284852,0.003929742411761508,-3.725926001751793e-05,-0.0005137190107183934
91,0.091,0.00017269503617149985,0.003979920952711571,-3.777349084460365e-05,-0.000515804745507145
92,0.092,0.0001766979342743372,0.004030850819879372,-3.828768337268547e-05,-0.0005185897233741537
93,0.093,0.00018075103596132283,0.004081923326736592,-3.8803667123756574e-05,-0.0005213274050114377
94,0.094,0.00018485686109923454,0.004132185074866208,-3.932428176893642e-05,-0.000522850744621273
95,0.095,0.0001890152563554736,0.0041818189101110025,-3.9849119452657304e-05,-0.0005233717214374205
96,0.096,0.0001932241239668604,0.0042317880421327185,-4.0375386590687684e-05,-0.0005240627006288654
97,0.097,0.00019748260587066559,0.004282535707862809,-4.090178959267045e-05,-0.0005254637875118902
98,0.098,0.0002017906335618303,0.004334191543980594,-4.1427996484960575e-05,-0.0005277288983598499
99,0.099,0.00020614892809296635,0.004386571586913265,-4.195463691062511e-05,-0.0005306257604031714
100,0.1,0.00021055900007435597,0.004439178272835883,-4.2483302129443174e-05,-0.000533535911829354
101,0.101,0.00021502310758645968,0.0044912181069918814,-4.301649376988817e-05,-0.0005354762099526193
102,0.10200000000000001,0.00021954142114041845,0.004542759535267731,-4.355415498799857e-05,-0.0005365177099115861
103,0.10300000000000001,0.0002241121489074489,0.004594626394457684,-4.409379541390138e-05,-0.0005376717002352334
104,0.10400000000000001,0.00022873448805896344,0.004647241407049841,-4.463412814156705e-05,-0.000539457785255174
105,0.105,0.00023340835978808677,0.00470075368761709,-4.517475555104557e-05,-0.0005420543395290723
106,0.106,0.00023813440930965592,0.004755038742817109,-4.571616930846645e-05,-0.0005452985078406445
107,0.107,0.00024291400586022002,0.004809698471392354,-4.6259750366038726e-05,-0.0005486862051996577
108,0.108,0.0002477492426980404,0.0048640611641700745,-4.6807768962050963e-05,-0.0005513721168419306
109,0.109,0.0002526412384388003,0.004917854300667309,-4.736128867837623e-05,-0.0005530010012894175
110,0.11,0.0002575882575067236,0.004971879028345069,-4.791780625460318e-05,-0.00055456318557577
111,0.111,0.0002625893405412593,0.00502661624317506,-4.847575743630773e-05,-0.0005566583033499682
112,0.112,0.0002676442458113399,0.005082291992823385,-4.903446965082474e-05,-0.00055956275417898
113,0.113,0.0002727534485064117,0.005138877772237255,-4.95941611411899e-05,-0.0005632300640969255
114,0.114,0.00027791814073643476,0.005196090523644987,-5.015594096613975e-05,-0.0005672908856050773
115,0.115,0.00028314023153188316,0.005253392636556011,-5.07218090001116e-05,-0.0005710529976718601
116,0.116,0.00028842193129801345,0.005310151284807107,-5.1294138138916695e-05,-0.0005737000060376454
117,0.117,0.0002937623127115828,0.00536689272709299,-5.18713459007592e-05,-0.0005758770245613073
118,0.11800000000000001,0.0002991600514780914,0.005424230985643727,-5.2451295956755634e-05,-0.0005783615108222872
119,0.11900000000000001,0.0003046146590579618,0.005482492454218682,-5.3032899289964656e-05,-0.0005815626349018819
120,0.12,0.0003101263450319552,0.005541775162658432,-5.361594703734941e-05,-0.0005855930166843362
121,0.121,0.0003156960171011725,0.005601948776884774,-5.420111048977757e-05,-0.0005902687258568432
122,0.122,0.00032132528108705334,0.0056626545989007186,-5.478994109202127e-05,-0.0005951092819095436
123,0.123,0.00032701644093137655,0.0057233055667904945,-5.538487044275714e-05,-0.0005993376541355268
124,0.124,0.0003327708640717172,0.005783666159083098,-5.598713022327185e-05,-0.0006026200783006499
125,0.125,0.0003385870156822279,0.005844455835757777,-5.6594177800495946e-05,-0.0006058708017831166
126,0.126,0.0003444641682310612,0.005906087838073564,-5.7204457818916136e-05,-0.0006096228644881403
127,0.127,0.0003504022549225401,0.005968782301676546,-5.7817262628429236e-05,-0.0006141497453245932
128,0.128,0.0003564018666384937,0.006032567424370556,-5.843272845586688e-05,-0.0006194668213275901
129,0.129,0.000362464251938257,0.006097279466117162,-5.9051835404995446e-05,-0.0006253313676584896
130,0.13,0.0003685913170586706,0.006162562749035674,-5.9676407456516094e-05,-0.0006312425576048932
131,0.131,0.00037478557166037874,0.006227888778706994,-6.0309042977239255e-05,-0.0006364659337979309
132,0.132,0.0003810475624006845,0.00629338557943066,-6.0949757364451416e-05,-0.0006411239619404326
133,0.133,0.00038737616932900534,0.006359623078269541,-6.159625691377945e-05,-0.0006459643814827487
134,0.134,0.0003937710744897954,0.006426923419605093,-6.2247265095753e-05,-0.0006514078938395179
135,0.135,0.0004002325790023229,0.006495457243526703,-6.29023175757948e-05,-0.0006576590640456875
136,0.136,0.0004067616030606698,0.006565243685831683,-6.356176221422072e-05,-0.0006647063207565126
137,0.137,0.00041335968593373215,0.006636150378025279,-6.422675906623968e-05,-0.0006723219562475571
138,0.138,0.00042002898596521976,0.006707893447320662,-6.48992803819537e-05,-0.0006800621264146925
139,0.139,0.0004267721942723441,0.006780066135712787,-6.558199765647343e-05,-0.0006873042401453481
140,0.14,0.0004335900060914191,0.006852869776818178,-6.627484525445598e-05,-0.0006942486714481295
141,0.14100000000000001,0.0004404818081805776,0.006926761119917231,-6.697576244435703e-05,-0.0007015130779403365
142,0.14200000000000002,0.0004474477191945912,0.00700201106187725,-6.768362894478324e-05,-0.0007094547379249055
143,0.14300000000000002,0.0004544884369309251,0.007078789777275225,-6.839810465860653e-05,-0.0007182668798727919
144,0.14400000000000002,0.0004616052383297379,0.0071571667183978425,-6.911962967296404e-05,-0.0007279786824229706
145,0.145,0.00046879997947388134,0.007237110615241468,-6.984942425925808e-05,-0.0007384552743824354
146,0.146,0.0004760750955889013,0.007318489475512169,-7.058948887315628e-05,-0.0007493977347262007
147,0.147,0.0004834335966166364,0.007401072138575429,-7.134259842284514e-05,-0.0007603450900413474
148,0.148,0.0004908774301693424,0.007484970248554484,-7.210998521289099e-05,-0.0007713003486418708
149,0.149,0.0004984067781943401,0.007570582186273257,-7.288994637347825e-05,-0.0007827933018437855
150,0.15,0.0005060224988159664,0.007658132195169042,-7.36815446123611e-05,-0.0007951193698990655
151,0.151,0.0005137259899934049,0.007747821243397083,-7.448457843463003e-05,-0.0008084891023607002
152,0.152,0.0005215191895206864,0.007839827023830582,-7.52995821427119e-05,-0.0008230281780826937
153,0.153,0.000529404575026688,0.007934303954060692,-7.612782583636987e-05,-0.0008387774052200654
154,0.154,0.000537385163975134,0.00803138317639652,-7.697131541270345e-05,-0.0008556927212288498
155,0.155,0.000545464513664595,0.008131172557865128,-7.78327925661485e-05,-0.0008736451928660963
156,0.156,0.0005536465431001214,0.008233829782960408,-7.871548206469011e-05,-0.0008925138262019585
157,0.157,0.0005619337282941565,0.008339905644006346,-7.961997451506245e-05,-0.000912783066761619
158,0.158,0.0005703286348821879,0.008449563991020464,-8.054594978961878e-05,-0.000934633526507747
159,0.159,0.000578834607830787,0.008563017603691736,-8.14939401560237e-05,-0.0009582213588540644
160,0.16,0.0005874556555836598,0.00868063517461388,-8.246523778512075e-05,-0.0009837908612543448
161,0.161,0.0005961964500616476,0.008802941309285356,-8.346189475093246e-05,-0.001011674475202414
162,0.162,0.000605062326662726,0.008930616526109367,-8.448672303066032e-05,-0.0010422927862321493
163,0.163,0.0006140592842620061,0.009064497256393857,-8.554329450468478e-05,-0.00107615452391748
164,0.164,0.0006231939852117337,0.00920557584435151,-8.663594095656527e-05,-0.0011138565618723877
165,0.165,0.0006324737426066435,0.00935499848807049,-8.776973211738098e-05,-0.0011560838507620019
166,0.166,0.0006419057883376315,0.009513948809408413,-8.894797056089898e-05,-0.0012037126113365138
167,0.167,0.0006515017913623219,0.009684221852706548,-9.017686954275525e-05,-0.001257947871445255
168,0.168,0.0006612758159861105,0.009867638714460654,-9.146501084959776e-05,-0.0013198167529927288
169,0.169,0.0006712423759206345,0.010065700247659936,-9.28208111699332e-05,-0.0013900584640081767
170,0.17,0.000681416434283773,0.01027958706178704,-9.425252209412693e-05,-0.0014691242986455775
171,0.171,0.0006918134035996461,0.010510159522818054,-9.576823011440309e-05,-0.0015571776371836482
172,0.17200000000000001,0.0007024491457986158,0.010757957753222504,-9.737585662484446e-05,-0.0016540939460258429
173,0.17300000000000001,0.0007133399722172854,0.011023201631963363,-9.908315792139257e-05,-0.0017594607777003542
174,0.17400000000000002,0.0007245026435984998,0.01130579079449705,-0.00010089772520184764,-0.0018725777708601121
175,0.17500000000000002,0.0007359543700913455,0.011605304632773414,-0.00010282698456586858,-0.0019924566502827843
176,0.176,0.00074771281125115,0.01192100229523575,-0.000104878197014973,-0.002117821226870773
177,0.177,0.0007597960760389404,0.012251822686986073,-0.00010705845845297035,-0.0022471073978237175
